id,number_of_reviews,review_scores_rating
108532995,2,5.0
108722605,23,4.61
108739982,10,4.4
109084412,12,4.92
109095621,16,4.31
109235517,4,4.75
109242022,2,5.0
109320134,7,4.86
109591570,6,4.0
109816243,4,4.5
109824280,32,4.88
109825341,4,5.0
109826969,7,4.71
109829603,3,5.0
110701136,7,4.43
110701814,20,4.3
110703871,25,4.72
110920492,1,3.0
111052085,1,2.0
111624957,2,5.0
111725716,2,5.0
111859274,1,5.0
111988969,10,3.4
111995526,10,3.3
112076440,4,4.5
112085542,10,4.8
112088328,19,5.0
112238940,4,4.75
112240544,7,4.71
112506131,33,4.45
112572852,1,5.0
112642182,62,4.21
112643265,8,4.13
112644129,11,3.91
112644713,14,4.43
112655976,28,4.32
112712074,107,4.36
112712531,14,4.29
112712925,28,4.04
112713485,12,3.58
112895038,16,4.81
113040389,12,4.75
113312674,8,4.63
113391507,9,4.0
113803670,1,4.0
114164559,1,5.0
114183630,1,5.0
114392197,1,3.0
114392594,5,4.2
114392913,2,4.5
114537887,1,5.0
114742372,1,5.0
114817114,2,4.0
115072626,5,5.0
115188005,13,3.54
115192101,25,4.08
115554127,3,5.0
115605524,7,5.0
115608961,1,1.0
115619444,17,3.71
115987727,38,4.03
116342577,13,4.08
116407948,4,4.75
116408498,1,5.0
116408848,6,5.0
116782084,20,4.5
116848101,1,4.0
116923749,1,4.0
116923932,1,5.0
117077133,16,4.94
117216722,1,5.0
117217691,11,4.91
117225619,2,5.0
117305596,2,5.0
117378794,2,4.5
117715737,1,4.0
117726658,1,5.0
118090622,1,5.0
118601712,1,5.0
118954732,1,2.0
119776743,3,5.0
120197123,5,4.6
120353969,1,4.0
120897610,3,2.33
120975000,1,5.0
121113996,8,4.5
121156757,1,5.0
121277820,1,5.0
121369217,81,4.63
121438604,2,4.5
121498955,6,4.5
121761224,1,5.0
122345967,6,4.83
122597266,1,5.0
122685643,16,4.75
122685658,5,4.8
122685659,15,4.27
122685661,2,4.0
122738714,6,4.17
122782227,2,5.0
122833037,1,5.0
122902899,7,4.86
122903834,3,3.0
123153180,1,5.0
123190853,7,4.86
123412759,1,4.0
123412774,10,4.5
123903450,1,4.0
123987972,1,5.0
124386015,3,4.0
124388204,4,4.0
124396893,6,4.33
124398229,24,3.96
124476015,1,2.0
124500892,2,5.0
124500942,2,4.5
124503622,2,5.0
124503646,2,5.0
124504059,1,3.0
124504081,1,2.0
124504142,1,5.0
124504155,1,5.0
124504209,1,5.0
124504383,2,5.0
124504420,1,5.0
124504423,5,5.0
124504434,2,5.0
124763130,2,5.0
124812216,4,4.25
125331431,73,4.71
125350153,1,5.0
125406135,40,4.78
125706618,3,4.67
125767106,10,4.9
125788390,1,5.0
126237370,4,5.0
126237371,9,4.44
126237374,3,4.67
126237376,6,4.67
126528890,3,4.33
126528923,3,4.67
126528943,1,5.0
126528950,17,4.29
126714218,14,3.93
126848801,22,4.36
126849134,18,4.44
126853466,19,4.05
126854012,1,1.0
126855050,8,4.13
126855918,25,4.52
126856543,7,3.86
126859136,3,4.0
126861135,1,4.0
127218638,58,4.19
127222921,68,3.99
127224355,5,2.4
127225188,1,4.0
127225538,2,3.5
127225910,9,3.56
127228358,2,5.0
127285571,14,3.57
127314644,1,4.0
127314650,9,4.44
127314689,3,5.0
127314691,3,5.0
127314708,14,4.86
127314710,1,5.0
127314711,1,5.0
127314738,8,4.13
127314751,1,5.0
128902434,3,3.0
128963460,1,3.0
128971900,5,3.4
129394755,1,3.0
129824056,4,4.75
129828016,6,4.5
129830627,8,4.25
129835062,2,4.5
129839408,1,4.0
129848686,1,5.0
129849901,1,5.0
129987782,1,5.0
129989245,3,4.67
129992882,1,5.0
130394745,5,4.6
130406856,9,4.78
130406957,8,5.0
130407494,1,5.0
130424393,1,3.0
130501583,2,4.5
130576419,2,4.5
130603696,2,3.5
130604881,3,4.33
130625061,4,4.0
130627413,4,4.75
130637233,6,4.67
130685455,1,5.0
130685954,1,5.0
130931251,3,4.0
131104628,4,5.0
131281256,4,4.5
131565201,2,3.5
131565209,2,3.5
131565251,2,3.5
131565251,1,5.0
131565260,1,5.0
131565261,1,4.0
131565268,1,5.0
131567203,1,5.0
132172208,3,5.0
132351190,3,4.33
132951914,9,5.0
133453565,3,3.67
133456313,1,5.0
133457408,11,4.09
133458758,1,3.0
133459523,10,3.4
133813159,132,4.75
133944458,4,4.5
134013914,2,4.0
134170159,2,5.0
134320104,29,4.72
134320644,12,4.5
134388743,1,5.0
134397475,3,4.67
134468299,6,4.0
134489459,2,4.5
134599432,1,4.0
134602723,2,4.5
134603959,2,4.5
134635442,1,5.0
134826834,3,2.0
134833846,3,1.67
134834085,1,2.0
134881939,1,4.0
135287355,7,4.14
135333713,2,2.5
135400522,2,2.5
135484778,3,5.0
135488399,9,5.0
135538655,2,4.5
135541986,2,5.0
135780587,3,5.0
135843295,2,5.0
135927046,1,5.0
135944699,2,4.5
135951460,1,4.0
135978615,1,4.0
135988500,2,3.5
136000278,2,4.0
136044192,5,4.2
136044214,2,4.5
136044325,1,5.0
136052015,5,4.4
136075060,1,4.0
136149791,1,4.0
136151003,1,2.0
136159597,1,5.0
136560714,7,3.43
136569387,39,4.49
136712862,27,4.33
136767500,2,3.0
136842907,5,4.8
136845053,13,4.92
136847758,2,5.0
136858485,3,5.0
136858485,15,4.53
136858578,21,4.05
136858586,18,4.33
136858587,1,5.0
136858717,3,3.67
136858717,2,4.5
136858725,1,1.0
136858726,9,4.33
136931196,3,4.67
137134368,3,3.33
137135085,1,4.0
137136158,4,4.5
137137967,1,5.0
137138002,1,5.0
137145730,1,3.0
137145730,1,3.0
137146866,1,5.0
137146932,1,5.0
137147350,2,4.0
137148315,1,5.0
137148352,1,5.0
137148357,1,5.0
137454476,2,5.0
137884853,10,4.8
138088443,3,4.0
138088455,1,5.0
138131039,1,1.0
138231129,5,4.2
138237641,2,5.0
138451712,1,3.0
138451718,1,4.0
138526014,3,4.67
138526805,1,5.0
138527076,2,4.5
138740804,1,5.0
138953319,1,5.0
138955534,1,5.0
138971901,5,4.2
139034575,8,4.88
139035392,1,5.0
139039859,3,5.0
139214878,1,5.0
139215152,1,5.0
139215162,4,5.0
139215334,1,5.0
139381584,1,3.0
139381601,2,4.5
139381615,1,5.0
139401101,1,5.0
139466316,3,5.0
139466632,2,5.0
139466810,33,4.79
139467268,1,5.0
139467477,3,4.67
139468574,4,2.75
139468591,1,4.0
139468591,5,3.6
139470254,1,5.0
139470302,4,4.75
139470302,7,4.71
139471801,6,3.5
139471801,1,5.0
139471816,4,3.75
139471817,1,4.0
139471830,2,3.0
139472967,5,3.6
139472967,48,4.33
139473001,2,3.0
139495063,2,3.0
139495063,6,3.83
139496251,1,5.0
139496252,105,4.54
139496279,66,4.42
139497822,3,3.0
139497822,2,3.5
139497839,4,3.5
139499439,4,4.25
139499439,5,3.4
139526625,26,4.15
139526625,13,4.38
139526663,5,2.8
139527757,13,3.77
139529090,1,4.0
139529153,9,3.33
139530735,4,3.75
139530737,8,4.25
139530738,4,3.75
139535625,97,4.21
139535646,10,4.3
139536859,69,4.03
139536859,2,2.5
139536883,6,3.67
139538070,2,4.5
139538070,17,3.82
139554972,1,5.0
139604475,2,5.0
139903602,5,3.6
139903958,11,4.09
139903958,7,4.0
139903965,5,3.8
139903973,1,5.0
139903992,2,3.5
139903992,11,4.09
139904000,13,3.46
139990730,2,5.0
139993551,2,5.0
139997893,1,5.0
140036890,1,4.0
140036893,1,5.0
140036947,1,5.0
140036951,1,5.0
140036954,1,5.0
140036985,1,5.0
140134634,1,4.0
140262358,1,4.0
140262375,3,4.33
140262381,2,5.0
140273521,1,5.0
140421278,1,5.0
140421293,1,5.0
140425645,1,5.0
140557080,4,4.25
140613354,2,4.5
140865366,3,4.33
140919044,2,5.0
140990583,1,5.0
140990627,1,5.0
140990628,3,4.67
140990952,2,5.0
141067173,2,5.0
141070192,1,5.0
141672340,3,5.0
141673522,1,5.0
141675429,3,4.67
141716659,2,5.0
141791812,4,4.75
141885716,1,4.0
141886717,5,4.0
142165802,1,1.0
142364368,2,5.0
142424988,3,4.67
142425006,3,5.0
142425018,2,5.0
142425019,2,5.0
142442870,1,5.0
142444754,3,5.0
142444790,11,4.45
142444820,1,5.0
142444886,1,5.0
142444975,3,4.33
142514879,1,5.0
142585988,2,4.5
142603158,2,5.0
142663553,3,4.67
142664167,3,4.33
142705887,1,5.0
142942961,7,4.43
143048150,10,4.4
143049248,4,3.75
143050163,1,4.0
143077881,25,4.84
143078480,3,5.0
143085875,2,5.0
143086508,1,5.0
143087502,2,4.0
143099868,2,5.0
143548117,1,5.0
143549873,1,4.0
143550120,6,4.83
143550827,5,5.0
144848641,2,5.0
144848948,1,3.0
144936243,1,5.0
145126237,1,5.0
145365242,6,4.17
145484620,2,5.0
145488586,1,5.0
146795025,1,3.0
146795216,2,4.5
146801805,1,5.0
147006059,1,5.0
148336673,3,4.67
148475731,2,5.0
148624251,1,5.0
149116204,1,5.0
149566765,3,5.0
